n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1950.0,1.0,49.0,669.0,497.0,623.0,161.0,0.2548717948717949,37.0,1367.0,0.9982397396111343,0.0,0.0,161.0
1948.0,2.0,50.0,674.0,503.0,608.0,163.0,0.2582135523613963,27.0,1394.0,0.9981906502870872,0.0,0.0,163.0
1946.0,2.0,52.0,683.0,503.0,604.0,156.0,0.25847893114080167,37.0,1431.0,0.998146214599635,0.0,0.0,156.0
1942.0,4.0,54.0,672.0,509.0,606.0,155.0,0.26210092687950565,42.0,1473.0,0.9981043799405871,0.0,0.0,155.0
1940.0,2.0,58.0,672.0,516.0,596.0,156.0,0.26597938144329897,34.0,1507.0,0.9980569505013982,0.0,0.0,156.0
1937.0,3.0,60.0,666.0,509.0,602.0,160.0,0.2627774909654104,32.0,1539.0,0.9980100764663391,0.0,0.0,160.0
1933.0,4.0,63.0,674.0,521.0,598.0,140.0,0.2695292291774444,34.0,1573.0,0.9979581243428826,0.0,0.0,140.0
1932.0,1.0,67.0,650.0,500.0,625.0,157.0,0.2587991718426501,39.0,1612.0,0.9979159493661851,0.0,0.0,157.0
1929.0,3.0,68.0,652.0,497.0,634.0,146.0,0.2576464489372732,34.0,1646.0,0.9978651073826975,0.0,0.0,146.0
1928.0,1.0,71.0,648.0,495.0,641.0,144.0,0.2567427385892116,41.0,1687.0,0.9978240415321427,0.0,0.0,144.0
1924.0,4.0,72.0,664.0,504.0,615.0,141.0,0.26195426195426197,44.0,1731.0,0.9977865083847137,0.0,0.0,141.0
1921.0,3.0,76.0,648.0,511.0,631.0,131.0,0.26600728787090056,33.0,1764.0,0.9977460375591175,0.0,0.0,131.0
1921.0,0.0,79.0,655.0,528.0,605.0,133.0,0.27485684539302446,23.0,1787.0,0.9977061218917054,0.0,0.0,133.0
1919.0,2.0,79.0,660.0,533.0,587.0,139.0,0.2777488275143304,27.0,1814.0,0.9976646880813796,0.0,0.0,139.0
1916.0,3.0,81.0,672.0,513.0,576.0,155.0,0.2677453027139875,26.0,1840.0,0.9976227739116241,0.0,0.0,155.0
1915.0,1.0,84.0,674.0,522.0,561.0,158.0,0.27258485639686686,37.0,1877.0,0.9975715704461826,0.0,0.0,158.0
1913.0,2.0,85.0,672.0,531.0,558.0,152.0,0.2775744903293257,38.0,1915.0,0.9975193773448447,0.0,0.0,152.0
1911.0,2.0,87.0,640.0,542.0,582.0,147.0,0.2836211407639979,39.0,1954.0,0.9974750048863288,0.0,0.0,147.0
1906.0,5.0,89.0,624.0,526.0,624.0,132.0,0.2759706190975866,33.0,1987.0,0.9974254909653465,0.0,0.0,132.0
1904.0,2.0,94.0,620.0,511.0,642.0,131.0,0.26838235294117646,23.0,2010.0,0.9973837952404458,0.0,0.0,131.0
1900.0,4.0,96.0,624.0,500.0,638.0,138.0,0.2631578947368421,27.0,2037.0,0.9973579716117168,0.0,0.0,138.0
1898.0,2.0,100.0,639.0,496.0,637.0,126.0,0.2613277133825079,37.0,2074.0,0.9973178812573804,0.0,0.0,126.0
1896.0,2.0,102.0,643.0,505.0,620.0,128.0,0.26635021097046413,41.0,2115.0,0.9972794017065603,0.0,0.0,128.0
1894.0,2.0,104.0,649.0,499.0,619.0,127.0,0.26346356916578667,34.0,2149.0,0.9972388583751219,0.0,0.0,127.0
1893.0,1.0,106.0,673.0,490.0,598.0,132.0,0.2588483888008452,37.0,2186.0,0.9971957284173563,0.0,0.0,132.0
1892.0,1.0,107.0,670.0,502.0,569.0,151.0,0.2653276955602537,41.0,2227.0,0.9971552614998808,0.0,0.0,151.0
1891.0,1.0,108.0,674.0,519.0,573.0,125.0,0.2744579587519831,42.0,2269.0,0.9971043369296916,0.0,0.0,125.0
1891.0,0.0,109.0,675.0,537.0,564.0,115.0,0.28397673188789,38.0,2307.0,0.997065002935642,0.0,0.0,115.0
1890.0,1.0,109.0,653.0,529.0,564.0,144.0,0.2798941798941799,30.0,2337.0,0.9970251801326081,0.0,0.0,144.0
1885.0,5.0,110.0,626.0,558.0,545.0,156.0,0.29602122015915117,38.0,2375.0,0.9969722754364277,0.0,0.0,156.0
1885.0,0.0,115.0,629.0,569.0,555.0,132.0,0.30185676392572947,41.0,2416.0,0.9969233286696669,0.0,0.0,132.0
1885.0,0.0,115.0,637.0,565.0,560.0,123.0,0.29973474801061006,34.0,2450.0,0.9968826768161526,0.0,0.0,123.0
1883.0,2.0,115.0,619.0,568.0,581.0,115.0,0.30164630908125334,35.0,2485.0,0.9968383519511169,0.0,0.0,115.0
1883.0,0.0,117.0,603.0,566.0,579.0,135.0,0.3005841741901221,29.0,2514.0,0.9967967176629116,0.0,0.0,135.0
1882.0,1.0,117.0,577.0,548.0,590.0,167.0,0.2911795961742827,25.0,2539.0,0.9967477011238833,0.0,0.0,167.0
1878.0,4.0,118.0,562.0,586.0,594.0,136.0,0.31203407880724177,41.0,2580.0,0.9966913090758142,0.0,0.0,136.0
1877.0,1.0,122.0,558.0,578.0,615.0,126.0,0.3079381992541289,44.0,2624.0,0.9966482190148387,0.0,0.0,126.0
