n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1962.0,1.0,37.0,1347.0,255.0,292.0,68.0,0.12996941896024464,19.0,728.0,0.6024080667072799,0.0,779.0,68.0
1962.0,0.0,38.0,1357.0,253.0,294.0,58.0,0.1289500509683996,17.0,745.0,0.6023971506020748,0.0,779.0,58.0
1962.0,0.0,38.0,1365.0,245.0,286.0,66.0,0.12487257900101936,15.0,760.0,0.6023908762975985,0.0,779.0,66.0
1962.0,0.0,38.0,1378.0,250.0,280.0,54.0,0.127420998980632,16.0,776.0,0.6023780955479552,0.0,779.0,54.0
1961.0,1.0,38.0,1382.0,250.0,261.0,68.0,0.12748597654258031,10.0,786.0,0.6023724975784975,0.0,779.0,68.0
1961.0,0.0,39.0,1388.0,252.0,255.0,66.0,0.12850586435492095,9.0,795.0,0.6023578628792008,0.0,779.0,66.0
1960.0,1.0,39.0,1387.0,240.0,250.0,83.0,0.12244897959183673,11.0,806.0,0.6023453792503232,0.0,779.0,83.0
1960.0,0.0,40.0,1381.0,243.0,254.0,82.0,0.1239795918367347,16.0,822.0,0.6023299789369175,0.0,779.0,82.0
1959.0,1.0,40.0,1391.0,245.0,257.0,66.0,0.12506380806533945,15.0,837.0,0.6023157269053949,0.0,779.0,66.0
1958.0,1.0,41.0,1382.0,247.0,263.0,66.0,0.1261491317671093,15.0,852.0,0.602305641858407,0.0,779.0,66.0
1958.0,0.0,42.0,1372.0,240.0,278.0,68.0,0.12257405515832483,13.0,865.0,0.601281037678796,0.0,779.0,68.0
1958.0,0.0,42.0,1372.0,240.0,279.0,67.0,0.12257405515832483,19.0,884.0,0.6012670502191558,0.0,779.0,67.0
1958.0,0.0,42.0,1375.0,230.0,297.0,56.0,0.11746680286006128,20.0,904.0,0.6012562254188688,0.0,779.0,56.0
1958.0,0.0,42.0,1380.0,223.0,288.0,67.0,0.11389172625127682,16.0,920.0,0.6012495470714064,0.0,779.0,67.0
1958.0,0.0,42.0,1392.0,221.0,280.0,65.0,0.1128702757916241,5.0,925.0,0.6012388797994492,0.0,779.0,65.0
1958.0,0.0,42.0,1389.0,223.0,281.0,65.0,0.11389172625127682,16.0,941.0,0.601227296275534,0.0,779.0,65.0
1958.0,0.0,42.0,1390.0,218.0,294.0,56.0,0.11133810010214505,14.0,955.0,0.6012173353894423,0.0,779.0,56.0
1958.0,0.0,42.0,1386.0,210.0,292.0,70.0,0.10725229826353422,7.0,962.0,0.6012069580226227,0.0,779.0,70.0
1957.0,1.0,42.0,1403.0,209.0,274.0,71.0,0.10679611650485436,20.0,982.0,0.6011926250224825,0.0,779.0,71.0
1956.0,1.0,43.0,1415.0,219.0,270.0,52.0,0.11196319018404909,21.0,1003.0,0.6011824700489655,0.0,779.0,52.0
1954.0,2.0,44.0,1408.0,222.0,260.0,64.0,0.11361310133060389,15.0,1018.0,0.6007728545943793,0.0,779.0,64.0
1952.0,2.0,46.0,1413.0,232.0,256.0,51.0,0.11885245901639344,17.0,1035.0,0.6007572240564042,0.0,779.0,51.0
1952.0,0.0,48.0,1399.0,235.0,252.0,66.0,0.12038934426229508,17.0,1052.0,0.600749840532739,0.0,779.0,66.0
1951.0,1.0,48.0,1400.0,243.0,245.0,63.0,0.12455151204510508,15.0,1067.0,0.6007334038288851,0.0,779.0,63.0
1950.0,1.0,49.0,1391.0,239.0,250.0,70.0,0.12256410256410256,18.0,1085.0,0.6007211682250999,0.0,779.0,70.0
1950.0,0.0,50.0,1395.0,242.0,248.0,65.0,0.12410256410256411,17.0,1102.0,0.6007090427417489,0.0,779.0,65.0
1950.0,0.0,50.0,1394.0,237.0,257.0,62.0,0.12153846153846154,14.0,1116.0,0.6006995596188319,0.0,779.0,62.0
1949.0,1.0,50.0,1391.0,245.0,253.0,60.0,0.12570548999486916,16.0,1132.0,0.6006906684902378,0.0,779.0,60.0
1949.0,0.0,51.0,1404.0,245.0,246.0,54.0,0.12570548999486916,13.0,1145.0,0.6006828706742346,0.0,779.0,54.0
1948.0,1.0,51.0,1391.0,240.0,253.0,64.0,0.12320328542094455,14.0,1159.0,0.6006776762696594,0.0,779.0,64.0
1948.0,0.0,52.0,1389.0,238.0,261.0,60.0,0.12217659137577003,17.0,1176.0,0.5990320335323169,0.0,779.0,60.0
1947.0,1.0,52.0,1396.0,238.0,254.0,59.0,0.12223934257832562,15.0,1191.0,0.599024881267487,0.0,779.0,59.0
1947.0,0.0,53.0,1404.0,245.0,248.0,50.0,0.1258346173600411,14.0,1205.0,0.5990167759192419,0.0,779.0,50.0
1946.0,1.0,53.0,1411.0,244.0,240.0,51.0,0.12538540596094552,18.0,1223.0,0.5990117958805271,0.0,779.0,51.0
1945.0,1.0,54.0,1393.0,240.0,244.0,68.0,0.12339331619537275,18.0,1241.0,0.5990017733931671,0.0,779.0,68.0
1944.0,1.0,55.0,1388.0,250.0,244.0,62.0,0.1286008230452675,11.0,1252.0,0.5989867538391994,0.0,779.0,62.0
1944.0,0.0,56.0,1370.0,244.0,254.0,76.0,0.12551440329218108,16.0,1268.0,0.5989769567302113,0.0,779.0,76.0
1944.0,0.0,56.0,1355.0,244.0,258.0,87.0,0.12551440329218108,13.0,1281.0,0.5989611430724114,0.0,779.0,87.0
1944.0,0.0,56.0,1364.0,252.0,269.0,59.0,0.12962962962962962,23.0,1304.0,0.5989459804644313,0.0,779.0,59.0
1944.0,0.0,56.0,1365.0,251.0,272.0,56.0,0.12911522633744857,22.0,1326.0,0.5989390939503131,0.0,779.0,56.0
1944.0,0.0,56.0,1362.0,242.0,282.0,58.0,0.12448559670781893,13.0,1339.0,0.5981115706595757,0.0,779.0,58.0
1943.0,1.0,56.0,1362.0,246.0,279.0,56.0,0.12660833762223367,11.0,1350.0,0.598102713642981,0.0,779.0,56.0
1942.0,1.0,57.0,1359.0,241.0,281.0,61.0,0.12409886714727085,15.0,1365.0,0.5980934265658732,0.0,779.0,61.0
1942.0,0.0,58.0,1354.0,237.0,294.0,57.0,0.12203913491246138,21.0,1386.0,0.5980842230724592,0.0,779.0,57.0
1941.0,1.0,58.0,1369.0,241.0,282.0,49.0,0.12416280267903143,17.0,1403.0,0.5980761219578112,0.0,779.0,49.0
1940.0,1.0,59.0,1375.0,245.0,264.0,56.0,0.12628865979381443,10.0,1413.0,0.5980701328478454,0.0,779.0,56.0
1940.0,0.0,60.0,1376.0,239.0,267.0,58.0,0.1231958762886598,15.0,1428.0,0.5980621585452187,0.0,779.0,58.0
1937.0,3.0,60.0,1376.0,229.0,273.0,59.0,0.11822405782137325,13.0,1441.0,0.5992362242191706,0.0,0.0,59.0
1936.0,1.0,63.0,1369.0,240.0,264.0,63.0,0.12396694214876033,12.0,1453.0,0.6028232170283585,0.0,0.0,63.0
1935.0,1.0,64.0,1375.0,238.0,265.0,57.0,0.12299741602067184,14.0,1467.0,0.6063743584866259,0.0,0.0,57.0
1935.0,0.0,65.0,1375.0,236.0,269.0,55.0,0.12196382428940568,19.0,1486.0,0.608096714881875,0.0,0.0,55.0
1935.0,0.0,65.0,1361.0,243.0,254.0,77.0,0.12558139534883722,12.0,1498.0,0.6116038708045275,0.0,0.0,77.0
1932.0,3.0,65.0,1371.0,250.0,266.0,45.0,0.12939958592132506,14.0,1512.0,0.6150707558639277,0.0,0.0,45.0
1932.0,0.0,68.0,1360.0,238.0,272.0,62.0,0.12318840579710146,13.0,1525.0,0.6185233397329867,0.0,0.0,62.0
1931.0,1.0,68.0,1367.0,228.0,272.0,64.0,0.11807353702744691,9.0,1534.0,0.6219325588743563,0.0,0.0,64.0
1931.0,0.0,69.0,1350.0,235.0,273.0,73.0,0.12169860176074573,20.0,1554.0,0.6253146800563734,0.0,0.0,73.0
1930.0,1.0,69.0,1350.0,236.0,286.0,58.0,0.12227979274611399,19.0,1573.0,0.6286622649901297,0.0,0.0,58.0
1930.0,0.0,70.0,1356.0,240.0,282.0,52.0,0.12435233160621761,15.0,1588.0,0.6319843309618076,0.0,0.0,52.0
1929.0,1.0,70.0,1353.0,236.0,287.0,53.0,0.12234318299637117,14.0,1602.0,0.6352785469185518,0.0,0.0,53.0
1928.0,1.0,71.0,1351.0,237.0,273.0,67.0,0.1229253112033195,15.0,1617.0,0.6385431149316854,0.0,0.0,67.0
1928.0,0.0,72.0,1358.0,228.0,283.0,59.0,0.11825726141078838,13.0,1630.0,0.6404819918355364,0.0,0.0,59.0
