n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
9704.0,10.0,286.0,2622.0,2771.0,3347.0,964.0,0.2855523495465787,215.0,7254.0,0.9981097180129889,0.0,0.0,964.0
9693.0,11.0,296.0,2596.0,2777.0,3387.0,933.0,0.28649540905808313,192.0,7446.0,0.9980541179786311,0.0,0.0,933.0
9684.0,9.0,307.0,2510.0,2796.0,3493.0,885.0,0.28872366790582404,205.0,7651.0,0.9980031996397065,0.0,0.0,885.0
9681.0,3.0,316.0,2472.0,2809.0,3539.0,861.0,0.29015597562235307,180.0,7831.0,0.9979517344516659,0.0,0.0,861.0
9671.0,10.0,319.0,2451.0,2804.0,3588.0,828.0,0.2899389928652673,193.0,8024.0,0.9979018623590584,0.0,0.0,828.0
9663.0,8.0,329.0,2484.0,2808.0,3543.0,828.0,0.2905929835454828,200.0,8224.0,0.9978545095641594,0.0,0.0,828.0
9654.0,9.0,337.0,2496.0,2872.0,3470.0,816.0,0.2974932670395691,204.0,8428.0,0.9978056539185606,0.0,0.0,816.0
9647.0,7.0,346.0,2490.0,2884.0,3414.0,859.0,0.2989530423966,184.0,8612.0,0.9977568428899897,0.0,0.0,859.0
9637.0,10.0,353.0,2539.0,2981.0,3321.0,796.0,0.3093286292414652,232.0,8844.0,0.9977045719551076,0.0,0.0,796.0
9628.0,9.0,363.0,2549.0,3016.0,3248.0,815.0,0.3132530120481928,182.0,9026.0,0.9976557501658146,0.0,0.0,815.0
9614.0,14.0,372.0,2537.0,3026.0,3215.0,836.0,0.314749323902642,183.0,9209.0,0.9976048084292645,0.0,0.0,836.0
9603.0,11.0,386.0,2510.0,3032.0,3228.0,833.0,0.3157346662501302,188.0,9397.0,0.9975519548275169,0.0,0.0,833.0
9595.0,8.0,397.0,2471.0,3013.0,3284.0,827.0,0.3140177175612298,202.0,9599.0,0.9975085773313952,0.0,0.0,827.0
9580.0,15.0,405.0,2408.0,3004.0,3317.0,851.0,0.3135699373695198,187.0,9786.0,0.9974569603882394,0.0,0.0,851.0
9565.0,15.0,420.0,2370.0,3023.0,3340.0,832.0,0.31604809200209094,208.0,9994.0,0.9974023734521167,0.0,0.0,832.0
9556.0,9.0,435.0,2308.0,3027.0,3410.0,811.0,0.31676433654248637,190.0,10184.0,0.9973514777329553,0.0,0.0,811.0
9552.0,4.0,444.0,2252.0,3054.0,3458.0,788.0,0.31972361809045224,214.0,10398.0,0.9973027092744048,0.0,0.0,788.0
9544.0,8.0,448.0,2287.0,3036.0,3473.0,748.0,0.318105616093881,201.0,10599.0,0.9972522166898327,0.0,0.0,748.0
